States,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
New South Wales,46772,49133,47601,55044,56709,61742,61470,52251,55061,44182
Victoria,38510,41278,38479,39840,45307,47516,47549,41005,42624,34189
Queensland,21413,21646,21589,20679,22209,21860,21519,17870,20420,18743
South Australia,11932,13093,11891,10714,13486,12461,11062,12017,10115,11996
Western Australia,25431,29421,30383,29043,26233,22488,18908,13480,12247,11377
Tasmania,1241,1267,1193,1132,1085,1180,2004,2775,3247,6152
Australian Capital Territory,3702,4150,4143,4345,4464,3260,3707,3277,3408,4370
Northern Territory,2044,2359,2323,2360,2531,2438,2393,2483,2616,2558
Not Specified,17640,22651,32398,26843,17073,16825,14996,17259,10585,6799
